hypothesis_id	status	complete_denominator	decision	reason	test_status	screened_candidates	metadata_advances	outcome_opened_confirmations	eligible_branch_datasets	required_branch_datasets	blocked_object_bytes	source_paths
H18	unavailable	75 screened perturbation candidates; 1 metadata advance; 0 outcome-opened confirmations; 0 eligible confirmed portability datasets	unavailable	not tested because the 189,393,177,972-byte KOLF outcome object failed the prespecified storage and complete-file checksum opening gate	not_tested	75	1	0	0	1	189393177972	analyses/independent_confirmation/hypotheses.tsv;analyses/independent_confirmation/metadata/perturbation_candidates.tsv;analyses/independent_confirmation/metadata/perturbation_screen.md;analyses/independent_confirmation/metadata/kolf_access_feasibility.tsv
H19	unavailable	75 screened perturbation candidates; 1 metadata advance; 0 outcome-opened confirmations; 0 eligible confirmed portability datasets	unavailable	not tested because the 189,393,177,972-byte KOLF outcome object failed the prespecified storage and complete-file checksum opening gate	not_tested	75	1	0	0	1	189393177972	analyses/independent_confirmation/hypotheses.tsv;analyses/independent_confirmation/metadata/perturbation_candidates.tsv;analyses/independent_confirmation/metadata/perturbation_screen.md;analyses/independent_confirmation/metadata/kolf_access_feasibility.tsv
H20	unavailable	75 screened perturbation candidates; 1 metadata advance; 0 outcome-opened confirmations; 0 eligible confirmed portability datasets	unavailable	not tested because the 189,393,177,972-byte KOLF outcome object failed the prespecified storage and complete-file checksum opening gate	not_tested	75	1	0	0	1	189393177972	analyses/independent_confirmation/hypotheses.tsv;analyses/independent_confirmation/metadata/perturbation_candidates.tsv;analyses/independent_confirmation/metadata/perturbation_screen.md;analyses/independent_confirmation/metadata/kolf_access_feasibility.tsv
H21	unavailable	75 screened perturbation candidates; 1 metadata advance; 0 outcome-opened confirmations; 0 eligible independent primary T-cell datasets of 2 required	unavailable	not tested because zero independent primary T-cell datasets met all frozen state, mapping, control, gene, cell, and repeated-unit gates; the prespecified two-dataset minimum was not met	not_tested	75	1	0	0	2		analyses/independent_confirmation/hypotheses.tsv;analyses/independent_confirmation/metadata/perturbation_candidates.tsv;analyses/independent_confirmation/metadata/perturbation_screen.md
H22	unavailable	75 screened perturbation candidates; 1 metadata advance; 0 outcome-opened confirmations; 0 eligible independent primary T-cell datasets of 2 required	unavailable	not tested because zero independent primary T-cell datasets met all frozen state, mapping, control, gene, cell, and repeated-unit gates; the prespecified two-dataset minimum was not met	not_tested	75	1	0	0	2		analyses/independent_confirmation/hypotheses.tsv;analyses/independent_confirmation/metadata/perturbation_candidates.tsv;analyses/independent_confirmation/metadata/perturbation_screen.md
H23	unavailable	75 screened perturbation candidates; 1 metadata advance; 0 outcome-opened confirmations; 0 eligible guide-by-donor datasets	unavailable	not tested because zero datasets jointly met the frozen requirements for three supported guide efficacies, three donors, at least 30 cells per guide-donor, at least 500 genes, controls, target-state mappings, and guide assignments	not_tested	75	1	0	0	1		analyses/independent_confirmation/hypotheses.tsv;analyses/independent_confirmation/metadata/perturbation_candidates.tsv;analyses/independent_confirmation/metadata/perturbation_screen.md
H24	unavailable	75 screened perturbation candidates; 1 metadata advance; 0 outcome-opened confirmations; 0 eligible guide-by-donor datasets	unavailable	not tested because zero datasets jointly met the frozen requirements for three supported guide efficacies, three donors, at least 30 cells per guide-donor, at least 500 genes, controls, target-state mappings, and guide assignments	not_tested	75	1	0	0	1		analyses/independent_confirmation/hypotheses.tsv;analyses/independent_confirmation/metadata/perturbation_candidates.tsv;analyses/independent_confirmation/metadata/perturbation_screen.md
H25	unavailable	8 externally perturbed H3K27ac factors; 4 overlap frozen CD4 targets; 0 eligible signed edges	unavailable	no locked resource measured state-compatible factor occupancy, and none of the four overlapping factors occurred in the frozen signed edge matrix	not_tested							analyses/independent_confirmation/results/genetic_hypothesis_decisions.tsv;analyses/independent_confirmation/results/molecular_resource_status.tsv;analyses/independent_confirmation/results/molecular_availability_audit.json
H26	unavailable	Rest and Stim48hr H3K27ac states; no compatible 8-hour occupancy measurement	unavailable	the locked assays cannot establish the prespecified direct-edge, secondary-TF, and downstream-response order	not_tested							analyses/independent_confirmation/results/genetic_hypothesis_decisions.tsv;analyses/independent_confirmation/results/molecular_resource_status.tsv;analyses/independent_confirmation/results/molecular_availability_audit.json
H27	unavailable	7 diseases; 0 schema eligible	unavailable	all seven locked GWAS failed prespecified schema gates before enrichment	not_tested							analyses/independent_confirmation/results/genetic_hypothesis_decisions.tsv;analyses/independent_confirmation/results/disease_branch_status.tsv;analyses/independent_confirmation/results/independent_schema_verification.json
H28	unavailable	7 diseases; 0 schema eligible	unavailable	no schema-eligible GWAS remained for locus harmonization or instruments	not_tested							analyses/independent_confirmation/results/genetic_hypothesis_decisions.tsv;analyses/independent_confirmation/results/disease_branch_status.tsv;analyses/independent_confirmation/results/independent_schema_verification.json
H29	unavailable	5 required component outcomes	unavailable	disease relevance lacked an eligible independent estimate	not_tested							analyses/independent_confirmation/results/genetic_hypothesis_decisions.tsv;analyses/independent_confirmation/results/disease_branch_status.tsv;analyses/independent_confirmation/results/molecular_resource_status.tsv
