resource_id	resource_type	candidate_id	accession	trait_or_resource	role	selection_state	direct_phenotype	nonimmune_family	cases	controls	effective_n	genome_build	ancestry_or_state	format	provider	metadata_url	data_url	expected_bytes	budget_bytes	provider_checksum_algorithm	provider_checksum	outcome_opened	opening_order	notes
G01	positive_gwas	IMMUNE002	GCST90475259	asthma	positive_asthma	selected	true	NA	26657	289011	97623.66	GRCh38	European_United_States	GWAS-SSF_v1.0_gzip_TSV	EMBL-EBI_GWAS_Catalog	https://www.ebi.ac.uk/gwas/rest/api/v2/studies/GCST90475259	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90475001-GCST90476000/GCST90475259/GCST90475259.tsv.gz	581977346	581977346	MD5	c80a48ba8c999d70546beb54fa68e571	false	3	complete_dense_statistics_metadata
G02	positive_gwas	IMMUNE007	GCST90627754	Hashimoto_thyroiditis	positive_hashimoto	selected	true	NA	15106	1405552	59781.51	GRCh38	European_multi_country	GWAS-SSF_v1.0_TSV	EMBL-EBI_GWAS_Catalog	https://www.ebi.ac.uk/gwas/rest/api/v2/studies/GCST90627754	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90627001-GCST90628000/GCST90627754/GCST90627754.tsv	1330469250	1330469250	MD5	492522fe6a5267be3fde2184e49d3047	false	4	complete_dense_statistics_metadata
G03	positive_gwas	IMMUNE009	GCST90475833	multiple_sclerosis	positive_multiple_sclerosis	selected	true	NA	2762	447721	10980.26	GRCh38	European_United_States	GWAS-SSF_v1.0_gzip_TSV	EMBL-EBI_GWAS_Catalog	https://www.ebi.ac.uk/gwas/rest/api/v2/studies/GCST90475833	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90475001-GCST90476000/GCST90475833/GCST90475833.tsv.gz	599875485	599875485	MD5	3fb63d2e1d177f6f4d89554442eb491a	false	5	complete_dense_statistics_metadata
G04	positive_gwas	IMMUNE013	GCST90475661	type_1_diabetes	positive_type_1_diabetes	selected	true	NA	16971	418767	65240.07	GRCh38	European_United_States	GWAS-SSF_v1.0_gzip_TSV	EMBL-EBI_GWAS_Catalog	https://www.ebi.ac.uk/gwas/rest/api/v2/studies/GCST90475661	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90475001-GCST90476000/GCST90475661/GCST90475661.tsv.gz	587891021	587891021	MD5	69682f19801f032bb53f4e1a70449da6	false	6	complete_dense_statistics_metadata
G05	positive_gwas	IMMUNE014	GCST90476067	ulcerative_colitis	positive_ulcerative_colitis	selected	true	NA	5229	442102	20671.51	GRCh38	European_United_States	GWAS-SSF_v1.0_gzip_TSV	EMBL-EBI_GWAS_Catalog	https://www.ebi.ac.uk/gwas/rest/api/v2/studies/GCST90476067	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90476001-GCST90477000/GCST90476067/GCST90476067.tsv.gz	595948811	595948811	MD5	5970617ed4fd1eef28ab2b8fd7de56c3	false	7	complete_dense_statistics_metadata
N01	negative_gwas_candidate	NEG_HERNIA_ABDOMINAL	GCST90476059	abdominal_hernia	negative_candidate	ineligible_neff	true	structural_hernia	71035	345335	235664.16	GRCh38	European_United_States	GWAS-SSF_v1.0_gzip_TSV	EMBL-EBI_GWAS_Catalog	https://www.ebi.ac.uk/gwas/rest/api/v2/studies/GCST90476059	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90476001-GCST90477000/GCST90476059/GCST90476059.tsv.gz	NA	0	NA	NA	false	NA	outside_locked_effective_n_range
N02	negative_gwas_candidate	NEG_HERNIA_INGUINAL	GCST90476060	inguinal_hernia	negative_disease_high_neff	selected	true	structural_hernia	30294	410088	112840.27	GRCh38	European_United_States	GWAS-SSF_v1.0_gzip_TSV	EMBL-EBI_GWAS_Catalog	https://www.ebi.ac.uk/gwas/rest/api/v2/studies/GCST90476060	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90476001-GCST90477000/GCST90476060/GCST90476060.tsv.gz	582716327	582716327	MD5	7069e7ab4b29b86ff8cfcea73e7458a8	false	2	closest_log_neff_to_high_anchor
N03	negative_gwas_candidate	NEG_HERNIA_UMBILICAL	GCST90476062	umbilical_hernia	negative_candidate	not_selected_by_rank	true	structural_hernia	15292	428443	59060.03	GRCh38	European_United_States	GWAS-SSF_v1.0_gzip_TSV	EMBL-EBI_GWAS_Catalog	https://www.ebi.ac.uk/gwas/rest/api/v2/studies/GCST90476062	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90476001-GCST90477000/GCST90476062/GCST90476062.tsv.gz	NA	0	NA	NA	false	NA	eligible_but_ranked_after_selected_control
N04	negative_gwas_candidate	NEG_HERNIA_VENTRAL	GCST90476063	ventral_hernia	negative_candidate	not_selected_by_rank	true	structural_hernia	9512	433175	37230.46	GRCh38	European_United_States	GWAS-SSF_v1.0_gzip_TSV	EMBL-EBI_GWAS_Catalog	https://www.ebi.ac.uk/gwas/rest/api/v2/studies/GCST90476063	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90476001-GCST90477000/GCST90476063/GCST90476063.tsv.gz	NA	0	NA	NA	false	NA	eligible_but_ranked_after_selected_control
N05	negative_gwas_candidate	NEG_MOTILITY_GASTROPARESIS	GCST90478363	gastroparesis	negative_disease_low_neff	selected	true	gastric_motility	2813	446383	11181.54	GRCh38	European_United_States	GWAS-SSF_v1.0_gzip_TSV	EMBL-EBI_GWAS_Catalog	https://www.ebi.ac.uk/gwas/rest/api/v2/studies/GCST90478363	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90478001-GCST90479000/GCST90478363/GCST90478363.tsv.gz	601486512	601486512	MD5	a47d39ff43154616a7fb6e3b526f0b5b	false	1	sole_candidate_in_fixed_low_neff_family
L01	ld_reference	NA	1000G_NYGC_3202_PHASED	1000G_GRCh38_autosomes	fine_mapping_LD	selected	NA	NA	NA	NA	NA	GRCh38	503_unrelated_EUR_after_fixed_filter	bgzip_VCF_and_tabix	International_Genome_Sample_Resource	https://www.internationalgenome.org/data-portal/data-collections/1000genomes_30x/	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/1000G_2504_high_coverage/working/20220422_3202_phased_SNV_INDEL_SV/20220804_manifest.txt	29767081443	29767081443	manifest_MD5_set	manifest_contains_44_MD5_values	false	NA	chromosomewise_acquisition
