hypothesis,family,estimate,ci_low,ci_high,p_value,n,expected_direction,note,q_value,decision
Regulatory support increases with transfer gain,transfer_gain,0.36704977496551616,0.26740842608526194,0.46033948166731864,0.000999000999000999,265,positive,target-cluster bootstrap; motif or curated support is not occupancy,0.0036630036630036626,passed
Amplified responses have stronger regulatory support than buffered responses,amplification_buffering,0.02522888283988927,0.0012357260804705277,0.04218605197867488,0.022977022977022976,84,positive,secondary support proxy; direct occupancy comparison unavailable,0.04212454212454212,passed
Rerouting increases with higher-order cascade support,rerouting,-0.21407797125741926,-0.31656369286832486,-0.11081787501397954,0.000999000999000999,201,positive,target-cluster bootstrap,0.0036630036630036626,failed
Resting responses contain more regulatory support,timing_proxy,0.016964205636119348,-0.007571897253011541,0.049986179427847145,0.778455435966652,47,positive,"matched targets; resting versus stimulated states, not temporal causation",0.7784554359666521,unresolved
Later responses have greater supported path depth,timing,0.04317620706940195,-0.006758652824434482,0.10304768357824609,0.13093332320027662,47,positive,cross-sectional state comparison,0.16002961724478254,unresolved
Early responses are enriched for directly occupied edges,direct_timing,,,,,0,positive,unavailable: no eligible perturbation has compatible TF occupancy,,unavailable
Regulatory support predicts cross-guide concordance,guide_concordance,0.323769644233693,0.18231574830803707,0.4540272583731357,0.000999000999000999,157,positive,guide evidence excluded from predictor,0.0036630036630036626,passed
Regulatory support predicts K562 response-vector reproducibility,external_replication,0.18665395347987437,0.010634773612132295,0.35870781022306414,0.03496503496503497,99,positive,K562 evidence excluded from predictor,0.04807692307692308,passed
Signed CRISPR effects agree with curated regulatory direction,signed_propagation,0.10966952725738854,0.011846644191273351,0.2035474713669185,0.029970029970029972,61,positive,target-cluster bootstrap,0.04709576138147566,passed
Regulatory support predicts natural-genetic direction concordance,natural_genetics,-0.26027397260273977,-0.3539709977912225,-0.10168141592920367,0.0015625,12,positive,target-cluster bootstrap,0.004296875,underpowered
Disease-convergent programs have stronger regulatory support,disease_convergence,0.03227044957891718,-0.03759248931759676,0.12803569170108295,0.39738430583501005,265,positive,target-cluster bootstrap; broad programme membership is not causal evidence,0.43712273641851107,unresolved
Observed response edges exceed degree-preserving network nulls,network_null,0.03288376687520579,0.02469542311491603,0.04042640763911755,0.00398406374501992,250,positive,"interval is the central 95% null-reference interval, not a sampling confidence interval; one successful swap per edge",0.008764940239043825,passed
