result_family	extension_action	original_estimate	original_denominator	strengthened_estimate	strengthened_denominator	confidence_interval	corrected_significance	effect_size_interpretation	sensitivity_and_influence	evidence_gained	remaining_limitation	final_status	materially_improves_manuscript
Transfer gain and buffering	Hierarchical shrinkage and class stability	out of fold R2 0.0877; gain support 0.528; buffering support 0.833	15807 target state observations from 6105 targets	rank rho 0.9942; buffered retention 0.879; amplified retention 0.895	6105 targets with 611 targets in each original tail	rho 0.9933 to 0.9950; buffered 0.853 to 0.902; amplified 0.874 to 0.918	tail retention q 0.000999 and 0.000999	Target ordering is highly stable after partial pooling, but only about one third of tail labels remain beyond the original fixed cutoffs after shrinkage.	Variance multipliers 1.0 to 1.5 retain rho at least 0.991 and rank retention at least 0.848; all target influence values are retained.	Improved precision and explicit separation of rank stability from threshold dependent labels.	Target state sampling variances are unavailable, so measurement error is bounded rather than point identified.	mixed	True
Signed programme rerouting and context dependence	Composition aware matched sensitivity	median module Jensen Shannon divergence 0.4078; 180 of 180 rerouting specifications supported	8168 evaluable pairs across 3696 targets	observed minus matched null normalized Aitchison distance -0.3430	8168 pairs from 3696 targets	-0.3688 to -0.3188	directional upper tail q 1.000; lower tail p 0.000999	Within target state compositions differ, but remain closer than matched cross target compositions after conditioning on magnitude.	The opposite direction holds for every state pair; existing module resolution, seed and state deletion sensitivities remain unchanged.	Added a log ratio geometry and a magnitude matched falsification null.	Guide and donor resolved module compositions are unavailable and the result is conditional on the frozen 30 component basis.	mixed	True
Guide level dose response and concordance	Reuse validated repeated measures analysis	target controlled dose coefficient 0.2959	13553 paired guide contrasts from 4855 targets	No new fit; the population dose association is retained	29130 guide observations and 14565 target state pairs from 5756 targets	0.0802 to 0.5016	q 0.0240	Stronger guide perturbation is associated with a larger distal count response within target, but absolute held out prediction remains poor.	Matched guide permutations, target bootstrap, measurement error definitions and target influence checks are already complete.	No additional analysis was justified because every eligible target state has only two guides.	Target specific thresholds, saturation, donor held out guide effects and signed guide vectors are underpowered or unavailable.	supported	False
Cross state and cross system conservation	Reuse internal decomposition and stop external extension	mean conserved core fraction 0.4325	3965 nonzero targets within the full 4399 target cohort	guide delta R2 -0.0005; donor 0.0066; K562 0.0007	3720 guide, 948 donor and 1204 K562 evaluable targets	core fraction 0.4280 to 0.4373; every predictive delta interval crosses zero	core structure supported; predictive additions unresolved after BH correction	A conserved component is measurable within CD4 states but does not improve held out guide, donor or K562 prediction.	Target held out, leave one state, matched target and fixed component resolution checks are complete.	No new external evidence passed the frozen data gate.	The independent T cell comparison has eight targets and complete external component vectors are unavailable.	mixed	False
External perturbation transportability	Stop because no untouched outcome passed the gate	RPE1 full model delta R2 0.0412; vector ablation R2 0.1909	490 previously inspected RPE1 targets	No untouched confirmation estimate	0 eligible untouched targets	RPE1 delta R2 -0.1490 to 0.1673	unresolved developmental comparison; confirmatory branch unavailable	Vector ablation improves the inspected RPE1 model, but the reduced specification has not been confirmed in an untouched system.	RPE1 ablations, calibration, coverage, shift diagnostics and target bootstrap are retained without retuning.	The availability gate prevents RPE1 from being relabelled as confirmatory evidence.	The frozen KOLF object could not pass storage and complete checksum opening gates.	unavailable	False
GRN benchmarking	Paired target contrasts, calibration and heterogeneity	finite horizon transfer did not lead target macro AUROC in any eligible dataset	4 eligible datasets and 2796 evaluable targets; mESC unavailable	random effects AUROC difference -0.0616; 5 corrected simple method wins and 1 corrected transfer wins across 12 contrasts	1203578 identical candidate edge pairs and 2796 evaluable targets	AUROC difference -0.1050 to -0.0181	simple comparators lead corrected AUROC in 3 of 4 datasets; finite horizon superiority criterion failed for all metrics	Simple correlation or pseudotime comparators outperform the transfer operator on AUROC overall, with metric specific exceptions and marked dataset heterogeneity.	paired target bootstrap, target held out calibration and random effects synthesis; AUROC I2 97.9 percent.	Converted unpaired benchmark summaries into paired target level evidence with calibration and cross dataset heterogeneity.	Only four datasets are estimable and heterogeneity is high; mESC remains unavailable.	failed	True
Molecular regulatory support	Reuse complete evidence tiers and stop direct occupancy extension	support association with transfer gain 0.3670	124798 edges from 284 regulators and 715 regulator state combinations	guide delta R2 0.0428; K562 delta R2 -0.4218	162 guide and 99 K562 target comparisons	support association 0.2674 to 0.4603; both predictive delta intervals cross zero	support association q 0.0037; predictive additions unresolved	Molecular support tracks transfer gain, but does not yet improve held out guide or K562 prediction.	Matched backgrounds, degree rewiring, leave one resource and target held out models are complete.	The complete denominator and correlated resource accounting prevent isolated motif or database hits from becoming mechanistic claims.	No compatible state matched factor occupancy exists; zero edges reach the strongest evidence tier.	mixed	False
Natural genetic concordance	Reuse corrected bundle preserving audit	direction agreement 0.5859	425 pairs, 81 variants, 40 mediators and 19 source chromosomes	No new fit; corrected audit result retained	425 identity eligible pairs from 31312 preselection associations	0.4803 to 0.7638	fixed 16 slot q 0.4603	Observed directional agreement is above one half, but uncertainty and the matched null do not support a firm concordance claim.	Chromosome cluster bootstrap, symmetric eligibility, matched bundle permutations and leave one chromosome checks are complete.	No further stratification was added because sparse matching cells would reduce validity.	Only 425 pairs are identity eligible and the corrected interval includes one half.	unresolved	False
Disease convergence and locus causal triangulation	Reuse complete denominator and stop unavailable genome wide extension	transfer augmented minus size state AUROC -0.0886; 0 of 42 amplified tests pass FDR	14 diseases, 75 programmes and 3 eligible loci	locus gate counts 4 of 7, 4 of 7 and 3 of 7; no mediation claim	3 frozen loci with all alternate genes and unavailable gates retained	No eligible corrected enrichment or mediation interval supports convergence	disease prediction failed; genome wide confirmation unavailable after 0 of 7 GWAS passed schema gates	Transfer features do not improve broad disease prediction and no locus passes the causal chain.	Matched negative diseases and loci, alternate genes, MHC exclusion and seven causal gates are retained.	Complete gate accounting prevents partial locus evidence from being interpreted as mediation.	Complete ancestry matched regional GWAS, LD and immune cis eQTL inputs are unavailable.	failed	False
Specification curve robustness and evidence synthesis	Deterministic synthesis without new testing	buffering support 0.833; transfer gain 0.528; cross system conservation 0.667; natural genetics 0.074	17280 scalar, 180 rerouting and 1008 validation specifications	one supported stability extension, one opposite direction rerouting falsification and one failed GRN superiority extension	all 10 result families with source specific denominators	Source analysis intervals retained without recycling correlated evidence	No new omnibus significance test; each source family retains its frozen multiplicity correction	The combined evidence supports stable within system transfer ranking and buffering, while limiting excess rerouting, general GRN superiority, portability and disease claims.	All unavailable, underpowered, negative and contradictory branches are retained and no additional thresholds or datasets were searched.	A single auditable table aligns estimates, denominators, uncertainty, multiplicity, stopping rules and manuscript impact.	Independent external perturbation, complete occupancy and genome wide disease resources remain unavailable.	mixed	True
