hypothesis_id	block	directional_expectation	endpoint_tier	endpoint	pass_rule	fail_rule	unavailable_rule	multiplicity_family	status_at_freeze
H18	untouched_portability_confirmation	The frozen CD4 model without the vector block has higher heldout target-level R2 than the best competitive baseline.	primary	paired target-level R2 difference	Paired 95 percent CI is above zero, within-family q is below 0.05, calibration and coverage pass, and every estimable fixed stratum is directionally positive with no corrected reverse stratum.	Any required gate fails or the paired CI includes zero or a corrected reverse stratum is present.	No outcome-unopened dataset passes all eligibility and power gates.	untouched_portability_primary	not_tested
H19	untouched_portability_confirmation	The full and without-vector frozen CD4 models retain calibrated interval coverage after outcome-free covariate-shift adjustment.	secondary	calibration slope, intercept, and 50, 80, and 95 percent interval coverage	Slope is 0.80 to 1.20, absolute intercept is at most 0.10 outcome SD, every coverage error is at most 0.05, and within-family q is below 0.05 for improvement over the best baseline.	Any calibration or coverage boundary fails or improvement is not supported after correction.	Eligible target count is below 100 or prediction intervals cannot be reconstructed without heldout-outcome fitting.	untouched_portability_calibration	not_tested
H20	untouched_portability_confirmation	Portability gain is positive across source-frozen expression, response-degree, network-degree, response-magnitude, and transfer-class strata.	secondary	stratified paired target-level R2 difference	Every estimable level with at least 20 targets is positive and no reverse level has q below 0.05.	Any estimable level is negative with q below 0.05 or fewer than the prespecified strata can be evaluated after an otherwise eligible dataset is opened.	No level in a frozen stratum contains at least 20 eligible targets.	untouched_portability_strata	not_tested
H21	independent_primary_t_cell_state_replication	Frozen cross-state core membership replicates in at least two independent primary human T-cell datasets.	primary	matched-target cross-state core-membership agreement above matched null	Each dataset is positive, the pooled clustered 95 percent CI is above zero, within-family q is below 0.05, and no dataset has a corrected opposite effect.	Fewer than two eligible datasets are positive or the pooled interval includes zero or a corrected opposite result occurs.	Fewer than two independent datasets pass all state, mapping, control, gene, cell, and repeated-unit gates.	primary_t_cell_state_primary	not_tested
H22	independent_primary_t_cell_state_replication	State-specific effect and rerouting directions agree across independent primary T-cell datasets beyond target and state matched nulls.	secondary	matched-target state-specific sign and rerouting agreement	Clustered 95 percent CI is above zero and within-family q is below 0.05 in the pooled analysis with positive direction in both datasets.	The pooled interval includes zero, corrected significance fails, or either dataset has an opposite direction.	State-specific signed responses or repeated-unit uncertainty are unavailable in two eligible datasets.	primary_t_cell_state_secondary	not_tested
H23	guide_by_donor_reconstruction	A training-selected nonlinear dose model improves heldout response error over the linear model across guides and donors.	primary	paired heldout response-error reduction	Guide-held-out and donor-held-out effects agree, paired 95 percent CI is above zero, within-family q is below 0.05, calibration passes, and negative controls are null.	Any validation direction reverses, the interval includes zero, corrected significance fails, calibration fails, or a negative control is positive after correction.	Fewer than three supported guide efficacies, three donors, 30 cells per guide-donor, or 500 genes are available.	guide_by_donor_primary	not_tested
H24	guide_by_donor_reconstruction	Supported guide-dose response shapes remain stable after measurement-error sensitivity and guide and donor bootstrap.	secondary	shape parameter and prediction calibration stability	Direction is unchanged across prespecified measurement-error scales, both bootstrap intervals exclude the null, and within-family q is below 0.05.	Direction changes or either bootstrap interval includes the null or corrected significance fails.	Guide efficacy uncertainty or donor-resolved profiles cannot be estimated under the frozen gate.	guide_by_donor_shape	not_tested
H25	state_compatible_molecular_evidence	Tier 1 or Tier 2 regulatory edges have higher guide-held-out and target-held-out directional concordance than matched unsupported edges.	primary	directional concordance difference	Clustered 95 percent CI is above zero and within-family, matched-permutation, and degree-rewiring q values are below 0.05 with all conflicts reported.	The interval includes zero, any required corrected null fails, or unreported directional conflicts are found.	No eligible factor has state-compatible occupancy, active chromatin, verified mapping, provenance, and sufficient matched backgrounds.	molecular_direct_edge	not_tested
H26	state_compatible_molecular_evidence	Direct-edge timing precedes secondary TF activity and downstream cascade response at compatible sampled times.	secondary	ordered direct-edge, secondary-TF, and downstream-response timing score	Matched-permutation and degree-rewiring q values are below 0.05, the 95 percent CI is above zero, and no corrected directional conflict reverses the order.	The interval includes zero, a required null fails, or a corrected conflict reverses the order.	Compatible state and time measurements do not establish all three ordered components.	molecular_cascade_timing	not_tested
H27	genome_wide_disease_genetics	Frozen CD4 programs show competitive genome-wide enrichment for immune-disease association beyond genomic and expression covariates.	primary	competitive gene-set and partitioned-heritability enrichment	MHC-excluded 95 percent CI is above zero, within-family q is below 0.05, colocalized loci support the direction, and matched negative controls are null.	The primary interval includes zero, corrected significance or colocalization support fails, or a negative control is positive after correction.	Complete summary statistics, ancestry-matched LD, immune-cell eQTLs, or state-relevant chromatin are unavailable.	genome_wide_disease_primary	not_tested
H28	genome_wide_disease_genetics	Colocalized program-linked instruments have directionally concordant disease effects without material heterogeneity or horizontal pleiotropy.	secondary	harmonized instrument effect and directionality	PP4 is at least 0.80 with PP4 over PP3 at least 3, F is at least 10, Steiger direction passes, heterogeneity and Egger-intercept q values are at least 0.05, leave-one-instrument direction is stable, and within-family q is below 0.05.	Any required instrument, directionality, heterogeneity, pleiotropy, or stability gate fails; no mediation claim is made.	Fewer than the required valid instruments or incomplete locus coverage prevents the frozen checks.	genome_wide_disease_instruments	not_tested
H29	integrated_evidence_portability	Molecularly supported programs outperform matched unsupported programs across guide concordance, cross-state core membership, untouched portability, information retention, and disease relevance.	primary	joint standardized supported-minus-unsupported score across five outcomes	All five effects are positive, the joint clustered 95 percent CI is above zero, within-family, matched-permutation, and rewiring q values are below 0.05, calibration passes, and every leave-one-resource direction is stable.	Any outcome is nonpositive, the joint interval includes zero, a corrected null or calibration gate fails, or leave-one-resource direction reverses.	Any of the five component outcomes lacks an eligible independent estimate under its frozen gate.	integrated_evidence_primary	not_tested
